Title,ID,Job Code,Job Type,Opening,Experience,Qualification,Language,Location,Description,Apply Link
Software Engineer  - Angular,1,587,Permanent,3,3 to 5 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- Proficient in Angular, TypeScript, CSS, HTML, and writing cross-browser compatible code.
-  Hands on experience with Angular 4.0+</li><li>Knowledge of JavaScript MV-VM/MVC frameworks including Angular.
- Experience with RESTful services</li><li>Hand on and implements complex Angular based applications, directives, controllers, services
- Creating self-contained, reusable, and testable modules and components
- Critical thinker and problem-solving skills",https://radixweb.com/careerform-experience?job_code=587&subject=Software+Engineer++-+Angular&emailid=job-98ea1719-7718-4875-bb4a-6d7d4b10080a-0@inbound.turbohire.co
Software Engineer – .NET,2,603,Permanent,20,2 to 8 Years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,,https://radixweb.com/careerform-experience?job_code=603&subject=Software+Engineer+–+.NET&emailid=job-b34c020e-e8ad-4ea2-8a00-a0388e50e72b-0@inbound.turbohire.co
Software Engineer – Vue JS,3,642,Permanent,5,3 to 5 years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- 3 to 5 Years of working experience in Vue.js framework.
- Developing user-facing applications using Vue.js.
- Ability to write efficient, secure, clean and scalable JavaScript code.
- Strong understanding of vue.js framework and its core principles.
- Must have working experience with version control tools like GIT and SVN,
- Task control tools like Redmine and Jira.
- Proficiency in JavaScript language, including its syntax and features.
- Working experience with HTML5 and CSS3.
- Knowledge of server-side rendering.
- Knowledge of ReactJs, Nodejs would be an advantage.",https://radixweb.com/careerform-experience?job_code=642&subject=Software+Engineer+–+Vue+JS&emailid=job-7a8651d5-7161-4302-81df-3e17352ce56c-0@inbound.justdropyourcv.in
Software Engineer – Node JS,4,643,Permanent,5,3 to 5 years,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- 3 to 5 Years of working experience in NodeJS.
- Must have working experience with version control tools like GIT and SVN, Task control tools like Redmine and Jira.
- Writing reusable, testable, and efficient code.
- Hands-on Node JS and related frameworks such as Express.js, Hapi.js, etc.
- Solid hold on of REST API and MVC.
- Expert in Asynchronous Request handling techniques.
- Hands-on with MongoDB and Redis integration with NodeJS
- Good to have understanding of Design Patterns and SOLID OOP principles.
- Good Understanding of modern JavaScript development technique.
- Knowledge of SDLC starting from requirement gathering to deployment and maintenance of the product.",https://radixweb.com/careerform-experience?job_code=643&subject=Software+Engineer+–+Node+JS&emailid=job-04b630ae-7ead-45bd-88c0-776612ff8c51-0@inbound.justdropyourcv.in
React Native Developer,7,640,Permanent,3,4 to 5 Years,BE/B.Tech/ME/M.Tech/MSc/MCA with (IT/CE),English,Ahmedabad,"### Job Description
- 4 – 5 years working as a full-time professional developer (Mobile) and minimum 2 years in React Native (Must)
- Knowledge of functional or object-oriented programming
- Ability to write well-documented, clean JavaScript code
- Familiarity with native build tools, like XCode, Gradle {{Android Studio, IntelliJ}}
- Good understanding of MVC frameworks and code versioning tools such as GIT.
- Highly proficient in rendering components with Native APIs
- Highly proficient in JavaScript, modern JavaScript, HTML
- Highly proficient in one or more libraries (e.g. Redux, React Router, React Native Paper, React Navigation, etc) for state managing and routing in addition to React.
- Little or no assistance is required to create mobile applications from start to finish.
- Experience working with Swift, Objective C, Java, and Kotlin is a plus
- Understanding and grasp of Agile development and Scrum practices
- Experience working with RESTful APIs and Cross-Platform Development",https://radixweb.com/careerform-experience?job_code=640&subject=React+Native+Developer&emailid=job-8a500732-025c-4b45-a11d-655c7720eba2-0@inbound.turbohire.co
Technical Lead – PHP / JavaScript,8,631,Permanent,1,6 to 8 years, BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- At least 2+ years acting in a technical lead role in a comparable organization.
- 5+ years of experience in PHP development (Core PHP, frameworks like Laravel, CMS systems like WordPress, eCommerce platforms like Magento, etc.)
- Experience in front-end technologies like HTML, CSS, JavaScript frameworks (Angular/React/Vue).
- Strong experience in design, implementation, and optimization of RDBMS databases, especially MySQL/MariaDB.
- Experience in client relationship management, project coordination, and delivery management in an onsite-offshore model.
- Providing inputs to the Pre -Sales Team, enabling them to respond to RFPs/ RFQs.
- Experience with DevOps (CI/CD, GIT/SVN, Linux etc.).
- Experience in iterative development methodologies like Agile.
- Hands-on work experience building, integrating, and delivering enterprise-wide web applications using PHP frameworks and other technologies for large organizations on complex projects.",https://radixweb.com/careerform-experience?job_code=631&subject=Technical+Lead+–+PHP+/+JavaScript&emailid=job-9a615ef0-3a75-4bc5-a6e2-1c84ed79667e-0@inbound.turbohire.co
Digital Marketing Executive,9,623,Permanent,2,2 to 4 Years,BE/B.Tech (CS/IT) MBA Marketing,English,Ahmedabad,"### Job Description
- We are looking for an experienced Digital Marketing Executive to assist in the planning, execution and optimization of our online marketing efforts. The promotion of products and services through digital channels is a complex procedure with great potential, which becomes increasingly useful for companies such as ours.
- The ideal candidate will have a passion for all things marketing and technology. You will be well-versed in the concepts surrounding digital marketing and how the Internet can become a strong asset to securing growing revenue. You will be tech-savvy and intuitive with great ideas to reinforce our marketing campaign.",https://radixweb.com/careerform-experience?job_code=623&subject=Digital+Marketing+Executive&emailid=job-c9156610-afc3-4059-a8b1-fcd5e53bca80-0@inbound.turbohire.co
Trainee Technical Solution Specialist,11,574,Permanent,10, 0 to 1 Year,BE/B.Tech/ME/M.Tech/MSc/MCA (IT/CE),English,Ahmedabad,"### Job Description
- Solution Specialist responsibilities include resolving client queries, recommending solutions, and guiding product users through features and functionalities. To be successful in this role, you should be an excellent communicator who’s able to earn our clients’ trust.",https://radixweb.com/careerform-experience?job_code=574&subject=Trainee+Technical+Solution+Specialist&emailid=job-c0ecacc2-4625-4a43-afdc-48f294f6b840-0@inbound.turbohire.co
Business Development Executive – Product,12,600,Permanent,2,2 to 4 Years,"MBA (preferable), with Any bachelor’s degree",English,Ahmedabad,"### Job Description
- We are looking for Sales Professional to Acquire new business from international markets (USA, UK, Europe & Australia & more) Job includes finding corporate customers with recurring business opportunities.",https://radixweb.com/careerform-experience?job_code=600&subject=Business+Development+Executive+–+Product&emailid=resumes@radixweb.com
Management Trainee – Business Development,13,593,Permanent,10,Fresher,MBA – (Marketing /IT/Sales/General),English,Ahmedabad,"### Job Description
- We are currently looking for smart business development professionals who will be responsible for engaging with IT Decision Makers and C-Suite profiles and generating new business opportunities from international market (North America, Europe, Australia & more)",https://radixweb.com/careerform-experience?job_code=593&subject=Management+Trainee+–+Business+Development&emailid=job-b42de61c-d846-4a5a-ba31-c330a673b9ba-0@inbound.turbohire.co
