No,Name,Phone,Address,Type
0,Lee Cooper,020 7613 8300,"1 Pepys Street, Fenchurch Street, London, EC3N 2NU",Clothing Retailers
1,Steve's Wood Floor Fitting,07522 916 476,"Morse House Fountains Crescent, Southgate, London, N14 6BE",Flooring Services
2,Sir Robert Peel Pub,020 7358 4333,"7 Langdale Close, Walworth, London, SE17 3UF",Public Houses Activities Of
3,Valg Property Ltd,020 3601 6790,"125 Anerley Rd, Anerley, London, SE20 8AJ",Estate Agents
4,Reformer Pilates 2U Ltd,07917 300 899,"Suite 2, 5, Percy St, West Central, London, W1T 1DG",Yoga
5,Uk Best Value,02030 117 356,"218-220, Whitechapel Rd, Aldgate, London, E1 1BJ",Shopping Centres
6,Go See Egypt,07522 473 775,"20-22 Wenlock Rd, Islington, London, N1 7GU",Cruiselines
7,Auto Rescue & Recovery,07903 186 933,"120 St. Pauls Close, Ealing, London, W5 3JY",Towing Services
8,Insypher Ltd,07803 151 993,"120, Pall Mall, Westminster, London, SW1Y 5EA",Data Information Services
9,Pueblo Coffee,07415 860 282,"Flat 7 Delphi Court 152, Fortis Green, Muswell Hill, London, N10 3AT",Drinks - Delivered
10,D&V Decoration & Drywall,07392 807 915,"86 Kerridge Court Balls Pond Rd, Islington, London, N1 4AN",Painting Contractors
11,Maginnis Maintenance,07854 532 671,"Flat 47, Pitmaston House, Lewisham Rd, Lewisham, London, SE13 7NG",Carpenters
12,Dan Bridge Photography,07939 027 343,"36 Bidwell Gardens, New Southgate, London, N11 2AU",Photographers (general)
13,Diane Beck Health-Success Nlp Hypnotherapy,020 7118 3738,"98 Crawford Street, West Central, London, W1H 2HL",Hypnotherapists
14,Green Business Trade Ltd,07468 972 477,"6 Woodman Parade Woodman St, Victoria Dock, London, E16 2LL",Solar Energy Equipment
15,Zion Payments Ltd,020 8720 6832,"20-22 Wenlock Rd, Islington, London, N1 7GU",Internet Service Providers
16,Silicon Valley Bank,020 7367 7800,"41 Lothbury, Liverpool Street, London, EC2R 7HF",Banks And Financial Institutions
17,J Mac & Sons Building & Roofing Ltd,07454 622 287,"207 Regent St, West Central, London, W1B 3HH",Roofing Contracting Services
18,M M Karim Notary Public,020 3817 7502,"96 White Horse Lane, Aldgate, London, E1 4LR",Legal Services
19,Foxtons Greenwich,020 8879 2179,"326-328 Creek Road, Greenwich, London, SE10 9SW",Estate Agents
20,Foxtons Hampstead,020 7433 6600,"47 Heath Street, Hampstead, London, NW3 6UA",Estate Agents
21,Foxtons Islington,020 7704 5000,"355 Upper Street, Islington, London, N1 0PD",Estate Agents
22,Hoverboard-Uk,020 3393 5303,"57 Upper Tooting Park, Tooting, London, SW17 7SU",Warehouses
23,R3 Data Recovery Hospital,0800 999 3282,"Regis Rd, Kentish Town, London, NW5 3UP",Data Processing
24,Occasions For All Children,020 8856 2408,"30 Coupland Place, Woolwich, London, SE18 7SW",Balloons Novelty
25,Empire Chauffeur Ltd,020 8558 5130,"52 Robinia Crescent, Leyton, London, E10 5TL",Chauffeur Driven Car Hire
26,De Beauvoir Cars,020 7254 8000,"376 Kingsland Rd, Hackney, London, E8 4AA",Limousine Hire
27,Crystal Touch Ltd,0203 195 6444,"Unit 1/B, Daisy Business Park 19-35, Sylvan Grove, Peckham, London, SE15 1PD",Cleaning Contracting Commercial
28,Endego Ltd,07936 899 030,"8C, Le May Avenue, Lee, London, SE12 0BP",Home Improvement
29,Whiteleys Cleaners,020 7627 2662,"32 Old Town, Clapham, London, SW4 0LB",Dry Cleaning And Laundry Services
30,Nasta Sweets & Savouries,020 3638 9243,"Hewling House Howard Rd, Stoke Newington, London, N16 8PS",Confectioners (retail)
31,Fridum Ltd,020 8090 4802,"Unit 5, The Exchange, Brent Cross Gardens, Hendon, London, NW4 3RJ",Civil Engineers
32,Shuffle Innovations,3330124712,"Unit 160, 2, London Bridge Walk, Waterloo, London, SE1 2SX",Computer Software (development)
33,Sash Window Repairs,0800 018 8240,"Unit 9 My Golden Act, 54, Bramber Rd, West Kensington, London, W14 9PB",Musicians And Orchestras
34,Caffè Nero - London,020 7520 5150,"17 Cockspur Street, Westminster, London, SW1Y 5BL",Cafes And Snack Bars
35,Bermondsey Service Station,07913 603 629,"1 Varcoe Rd, Rotherhithe, London, SE16 3DG",Car Body Repairers
36,Waterloo Plumbers Ltd,020 7351 0000,"64 Southwark Bridge Rd, Waterloo, Waterloo, London, SE1 0AS",Plumbers
37,Paraphrasing,020 3608 5284,"20 Colville Square, Notting Hill, London, W11 2BQ",Publishers
38,Gynaecologist,07940 072 111,"108 Harley St, West Central, London, W1G 7ET",Family Planning Clinics
39,Wisemen Builders,07756 330 734,"2 North Crescent, Finchley, London, N3 3LL",Building Construction Contractors
40,A.L.I.,07850 665 786,"47, Cotswold Gardens, East Ham, London, E6 3HZ",Driving Schools
