Title,Company Name,Job Type,Locations,Apply link,Job ID
.Net Azure Engineer,Deloitte Consulting India Private Limited,Software Engineering | Core Business Operations,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India
Mumbai, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=53715,53715
.Net Core - Senior Consultant - Hyderabad,Deloitte Tax Services India Private Limited,Tax | National Tax,"Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=46331,46331
.Net Developer,Deloitte Consulting India Private Limited,Software Engineering | Core Business Operations,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India
Mumbai, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=89021,89021
.Net Developer,Deloitte Consulting India Private Limited,Software Engineering | Core Business Operations,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India
Mumbai, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=89032,89032
.Net Developer,Deloitte Consulting India Private Limited,Software Engineering | Core Business Operations,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India
Mumbai, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=49835,49835
.Net Developer - Assistant Manager- Hyderabad/Bengaluru,Deloitte Support Services India Private Limited,Software Engineering | DTTL/MF - Global DAS,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=95719,95719
.Net Full stack - Kafka (Senior Analyst),Deloitte Support Services India Private Limited,Software Engineering | DAS,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=93640,93640
.Net Full Stack Developer,Deloitte Financial Advisory Services India Private Limited,Software Engineering | Accounting & Internal Controls,"Bengaluru, Karnataka, India
Gurugram, Haryana, India
Hyderabad, Telangana, India
Kolkata, West Bengal, India
Mumbai, Maharashtra, India
Pune, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=92668,92668
.NET Full Stack Developer - Senior Analyst,Deloitte Support Services India Private Limited,Software Engineering | DTTL/MF - Global DAS,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=65730,65730
.NET Web Developer - Hyderabad,Deloitte Support Services India Private Limited,Software Engineering | DTTL/MF - Global DAS,"Bengaluru, Karnataka, India
Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=66228,66228
5G Telecommunications -Cybersecurity- Consultant/Senior Consultant,Deloitte & Touche Assurance and Enterprise Risk Services India Private Limited,Cyber | Cyber & Strategic Risk,"Bengaluru, Karnataka, India
Gurugram, Haryana, India
Hyderabad, Telangana, India
Mumbai, Maharashtra, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=48430,48430
A&A - Analytical Developer with Spark -Hyderabad,Deloitte & Touche Assurance and Enterprise Risk Services India Private Limited,Product Management & Development | Core Audit Services,"Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=97528,97528
A&A - Data Specialist,Deloitte & Touche Assurance and Enterprise Risk Services India Private Limited,Audit & Accounting | Core Audit Services,"Hyderabad, Telangana, India",https://usijobs.deloitte.com/careersUSI/Login?jobId=97527,97527
