Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Business Development - Manager,"Hyderabad, Telangana, India",IN,2022-06-15,296,,Permanent,300000325940510,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/296/apply/email
Recruitment - Consultant,"Tamil Nadu, India",IN,2022-06-15,408,,Temp,300000365778526,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/408/apply/email
Sales Manager,"Gurgaon, Haryana, India",IN,2022-06-15,437,,Permanent,300000391779278,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/437/apply/email
Network Engineer,"New Delhi, Delhi, India",IN,2022-06-15,442,,Permanent,300000392136449,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/442/apply/email
Senior Software Engineer (Java),"Bangalore, Karnataka, India",IN,2022-06-15,448,,Permanent,300000392447322,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/448/apply/email
Executive - Programs,"Bangalore, Karnataka, India",IN,2022-06-15,455,,Permanent,300000392697109,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/455/apply/email
Recruitment - Consultant,"Chennai, Tamil Nadu, India",IN,2022-06-15,461,,Temp,300000396388597,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/461/apply/email
HR Executive,"Karnataka, India",IN,2022-06-15,472,,Temp,300000397772903,Full time,Master's Degree,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/472/apply/email
Associate Manager - Programs,"Bangalore, Karnataka, India",IN,2022-06-15,476,,Permanent,300000397900042,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/476/apply/email
Senior Business Development Manager,"Jaipur, Rajasthan, India",IN,2022-06-14,194,,Permanent,300000275449149,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/194/apply/email
Software Engineer,"Bengaluru North, Karnataka, India",IN,2022-06-14,210,,Permanent,300000282090227,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210/apply/email
Senior MDM - Consultant,"Bengaluru North, Karnataka, India",IN,2022-06-14,224,,Permanent,300000288199811,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/224/apply/email
Recruitment - Consultant,"Karnataka, India",IN,2022-06-14,324,,Permanent,300000332237645,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/324/apply/email
Senior Consultant - Recruitment,"Mumbai, Maharashtra, India",IN,2022-06-14,399,,Permanent,300000364288203,Full time,No Formal Education,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/399/apply/email
Associate Engineer,"Noida, Uttar Pradesh, India",IN,2022-06-14,430,,Permanent,300000390742792,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/430/apply/email
Management Trainee,"Bangalore, Karnataka, India",IN,2022-06-14,439,,Permanent,300000391779329,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/439/apply/email
Tele-calling Executive,India,IN,2022-06-14,440,Tele calling and MIS ,Temp,300000392052475,Full time,High School Graduate,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/440/apply/email
Senior Software Engineer (Java),"Bangalore, Karnataka, India",IN,2022-06-14,449,,Permanent,300000392493830,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/449/apply/email
Software Developer,"Noida, Uttar Pradesh, India",IN,2022-06-14,453,,Permanent,300000392551331,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/453/apply/email
Recruitment - Consultant,India,IN,2022-06-14,457,Hiring and line up client coordination  ,Permanent,300000396251199,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/457/apply/email
Senior Manager - Operations,"Chennai, Tamil Nadu, India",IN,2022-06-14,465,,Permanent,300000396515634,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/465/apply/email
Assistant Manager - Accounts,India,IN,2022-06-14,467,,Permanent,300000396793629,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/467/apply/email
Executive - Process,"Bangalore, Karnataka, India",IN,2022-06-14,478,Operations,Permanent,300000397906213,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/478/apply/email
Sr. Executive - Compliance,"Bangalore, Karnataka, India",IN,2022-06-13,9,Should have the Experience in Statutory Compliance and have to handle the team of 3+. Should have good knowledge on Statutory Compliance and should have depth knowledge in usage of Departmental Portals and Client Audit Portals. ,Permanent,300000136737526,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/9/apply/email
Asset Manager,"Mumbai, Maharashtra, India",IN,2022-06-13,84,,Permanent,300000185502525,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/84/apply/email
Sr. Consultant - Recruitment,"Kolkata, West Bengal, India",IN,2022-06-13,340,End to end Recruitment,Permanent,300000337478566,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/340/apply/email
